vin,year,make,model,trim,bodyClass,engine,driveType,plantCity,plantCountry,decodeErrorCode,decodeErrorText,sourceCount,firstSeen,lastSeen,firstJobTitle,latestJobTitle,latestProgrammerHint,latestPriceHint,latestPaymentHint,keySystemStatus,keyOptions,programmerOptions,originationTools,verifyBeforeDispatch,notes
1C6SRFHT9PN540015,2023,RAM,1500,Limited,Pickup,5.7L V-Shaped,4WD/4-Wheel Drive/4x4,STERLING HEIGHTS,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,2,2026-04-22T14:15:00.000Z,2026-04-22T22:30:00.000Z,uts DK 23 Ram_1500 Limited [SHD],uts DK 23 Ram_1500 Limited blk [SHD],,340.25,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FA6P8CFXF5365095,2015,FORD,Mustang,GT Coupe,Coupe,5.0L V-Shaped,,FLAT ROCK,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-17T13:30:00.000Z,2023-07-17T13:30:00.000Z,DK 10 veh.'s [cmx],DK 10 veh.'s [cmx],,308.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FADP3F25FL287274,2015,FORD,Focus,SE,Sedan/Saloon,2.0L In-Line,,WAYNE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-08-04T16:30:00.000Z,2023-08-04T16:30:00.000Z,"DK, KM 3 veh.'s [cmx]","DK, KM 3 veh.'s [cmx]",,292.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FADP3J25DL273346,2013,FORD,Focus,Titanium,Sedan/Saloon,2.0L In-Line,,WAYNE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-26T13:30:00.000Z,2023-06-26T13:30:00.000Z,DK 7 veh.'s [cmx],DK 7 veh.'s [cmx],,432.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FADP3K22HL205445,2017,FORD,Focus,SE,Hatchback/Liftback/Notchback,2.0L In-Line,,WAYNE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2021-09-08T19:10:00.000Z,2021-09-08T19:10:00.000Z,KM 11 Silverado; 14 Cube; 17 Focus [ago],KM 11 Silverado; 14 Cube; 17 Focus [ago],,125,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FADP3K24EL145082,2014,FORD,Focus,SE,Hatchback/Liftback/Notchback,2.0L In-Line,,WAYNE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2020-07-29T15:49:00.000Z,2020-07-29T15:49:00.000Z,KM Aango,KM Aango,,460,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FAHP2F89FG127584,2015,FORD,Taurus,Limited,Sedan/Saloon,3.5L V-Shaped,FWD/Front-Wheel Drive,CHICAGO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-05T16:20:00.000Z,2023-07-05T16:20:00.000Z,DK 2 veh.'s [cmx],DK 2 veh.'s [cmx],,48,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FAHP2H84GG112067,2016,FORD,Taurus,SEL,Sedan/Saloon,3.5L V-Shaped,AWD/All-Wheel Drive,CHICAGO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2020-09-08T16:00:00.000Z,2020-09-08T16:00:00.000Z,KM Aango 5 veh.'s,KM Aango 5 veh.'s,,285,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FATP8UH7K5131493,2019,FORD,Mustang,I4 Convertible,Convertible/Cabriolet,2.3L In-Line,,FLATROCK,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-28T12:50:00.000Z,2023-07-28T12:50:00.000Z,DK 8 veh.'s [cmx],DK 8 veh.'s [cmx],,349.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FM5K8D87EGB97483,2014,FORD,Explorer,XLT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.5L V-Shaped,4WD/4-Wheel Drive/4x4,CHICAGO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2022-08-22T14:35:00.000Z,2022-08-22T14:35:00.000Z,KM 14 Explorer red [bvw],KM 14 Explorer red [bvw],,190,n30,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FMCU9GN2PUA54552,2023,FORD,Escape,Active,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),1.5,4WD/4-Wheel Drive/4x4,LOUISVILLE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-11-10T15:30:00.000Z,2023-11-10T15:30:00.000Z,Carmax Omaha,Carmax Omaha,FDRS,350.6,,needs locksmith verification,,FDRS,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FMJK2A87REA42384,2024,FORD,Expedition MAX,Limited,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.5L V-Shaped,4WD/4-Wheel Drive/4x4,JEFFERSON COUNTY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,2,2026-04-23T15:30:00.000Z,2026-04-23T15:30:00.000Z,DK 24 Expedition blk [ehs],DK 24 Expedition blk [ehs],PCP + FDRS,110,n30,needs locksmith verification,,PCP + FDRS,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FT7W2BT6NEE57521,2022,FORD,F-250,,Pickup,6.7L V-Shaped,4WD/4-Wheel Drive/4x4,JEFFERSON COUNTY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2022-06-26T12:00:00.000Z,2022-06-26T12:00:00.000Z,AU 22 F-250 wht [fenkell],AU 22 F-250 wht [fenkell],,,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FTEX1CPXGFA13037,2016,FORD,F-150,,Pickup,2.7L V-Shaped,4x2,DEARBORN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-26T13:30:00.000Z,2023-06-26T13:30:00.000Z,DK 7 veh.'s [cmx],DK 7 veh.'s [cmx],,432.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FTFW3L58SKD97045,2025,FORD,F-150,XLT,Pickup,5.0L V-Shaped,4WD/4-Wheel Drive/4x4,CLAYCOMO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,2,2026-04-24T15:30:00.000Z,2026-04-24T15:30:00.000Z,DK 25 F-150 gry,DK 25 F-150 gry,FRD8334 + FDRS,278.53,cr,needs locksmith verification,,FRD8334 + FDRS,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1FTFX1CT5EFC71268,2014,FORD,F-150,,Pickup,3.5L V-Shaped,4x2,DEARBORN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-17T13:30:00.000Z,2023-07-17T13:30:00.000Z,DK 10 veh.'s [cmx],DK 10 veh.'s [cmx],,308.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1BC5SM4J7199245,2018,CHEVROLET,Cruze,LS,Sedan/Saloon,1.4L In-Line,FWD/Front-Wheel Drive,LORDSTOWN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-14T15:15:00.000Z,2023-07-14T15:15:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,188.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1PA5SH1D7287947,2013,CHEVROLET,Cruze,1LS,Sedan/Saloon,1.8,,LORDSTOWN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-10-04T17:25:00.000Z,2023-10-04T17:25:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,207,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1PE5SB9E7112623,2014,CHEVROLET,Cruze,2LT,Sedan/Saloon,1.4L In-Line,,LORDSTOWN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-09-08T13:30:00.000Z,2023-09-08T13:30:00.000Z,DK 5 veh.'s [cmx],DK 5 veh.'s [cmx],IM608,197.8,,needs locksmith verification,,IM608,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1YR2D65G5607052,2016,CHEVROLET,Corvette,Preferred 2LZ w/Z06,Coupe,6.2L V-Shaped,,BOWLING GREEN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2022-04-18T16:27:00.000Z,2022-04-18T16:27:00.000Z,DK 16 Corvette wht [cos],DK 16 Corvette wht [cos],,271.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1ZD5ST4PF199280,2023,CHEVROLET,Malibu,LT (1LT),Sedan/Saloon,1.5L In-Line,,KANSAS CITY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-03-29T12:50:00.000Z,2024-03-29T12:50:00.000Z,KM 23 Malibu gry [er],KM 23 Malibu gry [er],,208.25,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1ZD5ST6RF123076,2024,CHEVROLET,Malibu,LT (1LT),Sedan/Saloon,1.5L In-Line,,FAIRFAX,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-07-10T12:49:00.000Z,2024-07-10T12:49:00.000Z,KM 24 Malibu blk [er],KM 24 Malibu blk [er],,208.25,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1ZE5SX0NF199175,2022,CHEVROLET,Malibu,Premier (2LZ),Sedan/Saloon,2L In-Line,FWD/Front-Wheel Drive,KANSAS CITY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-04-01T15:00:00.000Z,2024-04-01T15:00:00.000Z,KM 22 Malibu wht [er],KM 22 Malibu wht [er],IM608,208.25,,needs locksmith verification,,IM608,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G1ZG5ST0NF210716,2022,CHEVROLET,Malibu,RS (1SP),Sedan/Saloon,1.5L In-Line,FWD/Front-Wheel Drive,KANSAS CITY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-02-08T21:05:00.000Z,2023-02-08T21:05:00.000Z,*billed* DK 22 Malibu blk [boystown],*billed* DK 22 Malibu blk [boystown],TIS,540,n30,needs locksmith verification,,TIS,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G4GD5G39EF176982,2014,BUICK,LaCrosse,Premium,Sedan/Saloon,3.6,,KANSAS CITY,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-03T13:15:00.000Z,2023-07-03T13:15:00.000Z,DK 4 veh.'s [cmx],DK 4 veh.'s [cmx],,105.8,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G4PR5SK2H4114274,2017,BUICK,Verano,Sport Touring (1SH),Sedan/Saloon,2.4,,ORION,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2020-07-29T15:49:00.000Z,2020-07-29T15:49:00.000Z,KM Aango,KM Aango,,460,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1G6AR5SX0E0157006,2014,CADILLAC,CTS,Luxury,Sedan/Saloon,2.0L In-Line,RWD/Rear-Wheel Drive,LANSING - GRAND RIVER,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-09-27T14:00:00.000Z,2023-09-27T14:00:00.000Z,DK 2 Vehs [cmx],DK 2 Vehs [cmx],TIS,,,needs locksmith verification,,TIS,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1GC4C1C82BF185474,2011,CHEVROLET,Silverado,LTZ,Pickup,6.6L V-Shaped,4x2,FLINT,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2021-09-08T19:10:00.000Z,2021-09-08T19:10:00.000Z,KM 11 Silverado; 14 Cube; 17 Focus [ago],KM 11 Silverado; 14 Cube; 17 Focus [ago],,125,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1GCGTCEN2K1123694,2019,CHEVROLET,Colorado,LT,Pickup,3.6L V-Shaped,4WD/4-Wheel Drive/4x4,WENTZVILLE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-17T13:30:00.000Z,2023-07-17T13:30:00.000Z,DK 10 veh.'s [cmx],DK 10 veh.'s [cmx],,308.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1GCVKSEC2HZ112532,2017,CHEVROLET,Silverado,LTZ,Pickup,5.3,4WD/4-Wheel Drive/4x4,FORT WAYNE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-14T15:15:00.000Z,2023-07-14T15:15:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,188.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1GKS2BKDXNR332999,2022,GMC,Yukon,SLT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5.3,4WD/4-Wheel Drive/4x4,ARLINGTON,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2026-04-22T15:30:00.000Z,2026-04-22T15:30:00.000Z,KM Roof Rack [cmx],KM Roof Rack [cmx],,317.5,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1GKS2FKC5GR402426,2016,GMC,Yukon XL,SLE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5.3,4WD/4-Wheel Drive/4x4,ARLINGTON,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-03T13:15:00.000Z,2023-07-03T13:15:00.000Z,DK 4 veh.'s [cmx],DK 4 veh.'s [cmx],,105.8,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
